date,open,high,low,close,volume
2026-05-25,54610.5508,55405.1992,54590.6992,55293.6484,262400
2026-05-26,55311.8008,55536.8008,54979.7500,55092.8984,321300
2026-05-27,54992.9492,55221.6992,54738.6016,54853.8516,268100
2026-05-29,54748.3008,55184.4492,54116.1484,54239.1992,1042600
2026-06-01,54403.8516,54582.7500,53470.0000,53643.1016,322900
2026-06-02,53265.1016,53933.5508,53121.8516,53714.6484,406400
2026-06-03,53541.1016,54299.3516,53027.1484,54185.9492,339100
2026-06-04,53918.8516,54461.0000,53829.3984,54307.8516,273700
2026-06-05,54405.1992,54865.5000,54140.6016,54496.2500,369000
2026-06-08,53853.4492,54455.1992,53843.3008,54063.7500,299400
2026-06-09,54265.0000,55318.3516,54242.3008,55194.5000,409700
2026-06-10,55110.5000,55555.8516,55026.1484,55100.3008,343200
2026-06-11,54779.6484,55600.1484,54753.1484,55176.7500,339400
2026-06-12,55934.1016,56867.1016,55726.5508,56814.8008,337400
2026-06-15,57679.6484,57804.5000,57119.1992,57198.8008,350700
2026-06-16,57320.1016,57399.6992,57076.2500,57297.1484,375400
2026-06-17,57434.0508,57646.1484,57222.3984,57585.0508,583400
2026-06-18,57596.4492,58021.2500,57583.1992,57963.8008,409600
2026-06-19,57754.9492,57804.8984,57464.5508,57685.7500,285800
2026-06-22,57906.8984,58009.1016,57720.1016,57935.6016,293500
2026-06-23,57886.7500,57970.8984,57078.4492,57183.7500,267200
2026-06-24,57074.8984,58256.3516,57074.8984,58150.3516,283200
2026-06-25,58493.8516,58706.0508,58109.8516,58177.0508,296500
2026-06-29,58191.4492,58318.0508,57637.2500,57727.3516,529800
2026-06-30,58011.9492,58011.9492,57456.6484,57542.8984,398700
2026-07-01,57573.3516,58134.1484,57487.8516,58033.0508,260500
2026-07-02,58134.5000,58396.1016,57884.6016,58031.6484,273300
2026-07-03,58343.2500,58343.2500,57799.0508,57938.5000,326300
2026-07-06,57983.8984,58477.3008,57938.6484,58291.5000,284400
2026-07-07,58567.8516,58581.1016,58110.1016,58200.6992,261900
2026-07-08,57918.2500,58075.6016,56549.3984,56742.6016,304900
2026-07-09,56871.0000,57464.1992,56867.3008,57252.4492,231600
2026-07-10,57592.5000,58251.9492,57576.6992,58045.8984,235600
2026-07-13,57616.6992,58219.8984,57492.0508,58131.4492,210300
2026-07-14,57832.5508,57840.0508,57286.8984,57462.3008,206800
2026-07-15,57643.7500,58148.8008,57545.1992,57757.8516,231000
2026-07-16,57831.1016,57931.3008,57420.1484,57582.2500,171400
2026-07-17,57662.0000,58596.8516,57542.1484,58521.3984,251900
2026-07-20,57738.2500,58111.0000,57533.1016,57945.0000,540500
2026-07-21,57853.7500,58228.6484,57803.8516,57835.3516,312600
2026-07-22,57768.3984,57824.0000,56970.6016,57126.8008,308500
2026-07-23,56796.9492,56930.1484,56374.7500,56592.0000,194900
2026-07-24,56169.3984,56831.4492,56023.6016,56693.5000,218000
2026-07-27,57116.8008,57330.0508,56928.6484,57087.1992,398400
2026-07-28,56883.5508,57054.1992,56672.3984,56755.6016,282600
2026-07-29,57126.6016,57315.9492,56939.3516,57205.8984,176200
2026-07-30,57127.0508,57236.6484,56768.6016,57147.5000,202900
2026-07-31,57225.8984,57411.2500,57139.6016,57264.8516,158800
2026-08-03,57569.6016,58247.9492,57465.9492,58247.9492,152700
2026-08-04,58068.9492,58068.9492,57352.6484,57907.1992,168700
2026-08-05,57810.0508,57931.8516,57456.3516,57739.9492,240400
2026-08-06,57815.0000,58076.8516,57714.6992,58063.6484,211700
2026-08-07,57882.0000,57994.4492,57686.5508,57746.4492,180000
2026-08-10,57812.3008,58015.8516,57527.7500,57686.9492,172000
2026-08-11,57604.3516,57607.2500,57158.1016,57446.2500,162300
2026-08-12,57391.8008,57885.8516,57254.0000,57885.8516,269700
2026-08-13,57799.1484,57799.1484,57548.6016,57635.2500,144700
2026-08-14,57589.7500,57681.4492,57380.4492,57491.1016,144900
2026-08-17,57418.3008,57757.2500,57119.6016,57497.8008,155600
2026-08-18,57325.5508,57584.6992,57217.6016,57262.3984,129700
2026-08-19,57260.6484,57356.8516,57001.7500,57239.7500,139400
2026-08-20,57507.6484,57702.9492,57431.8008,57495.8984,135300
2026-08-21,57613.1992,57772.4492,57481.5508,57761.9492,147500
