date,open,high,low,close,volume
2026-05-24,76670.6562,77372.5391,76019.8906,76981.1250,20572738918
2026-05-25,76981.1250,77804.9219,76833.0391,77279.9297,19808387601
2026-05-26,77280.1250,77990.8672,75569.4688,75825.7344,35999475458
2026-05-27,75825.3047,76014.2969,74136.5000,74344.7031,33802172927
2026-05-28,74339.5703,74460.1250,72493.4141,73536.5547,40148145327
2026-05-29,73537.0312,74218.5625,72435.6250,73372.5234,34457929250
2026-05-30,73370.8516,74020.7578,73125.2344,73754.8359,19563589191
2026-05-31,73753.7500,74153.5000,73315.0156,73579.6875,17445435650
2026-06-01,73580.2109,73969.5703,70599.5078,71319.7734,43378836121
2026-06-02,71321.0312,71334.9531,66127.2656,66703.6562,54990073882
2026-06-03,66694.0078,67402.9297,64009.6758,64014.3672,47411556213
2026-06-04,64020.0703,64664.4453,61335.7500,63801.5742,63800151780
2026-06-05,63807.6914,63901.5156,59108.9180,60922.6680,71465606706
2026-06-06,60924.4766,61491.7031,59496.6250,60867.4141,30898464957
2026-06-07,60866.9414,64128.0430,60724.0664,63239.5195,36006496194
2026-06-08,63244.0859,64185.7656,62384.6680,63090.5898,34133252457
2026-06-09,63092.8906,63486.0898,60756.6875,61643.7812,40144449754
2026-06-10,61643.2070,62788.2773,60788.0234,61449.2891,27493506779
2026-06-11,61448.8789,63851.9492,61447.9688,63561.0547,29316677897
2026-06-12,63547.4414,64334.0156,62778.7930,63543.1992,26881868307
2026-06-13,63541.5156,64700.8789,63431.3203,64421.3242,16956245530
2026-06-14,64420.1680,65749.7812,63634.0234,65710.3984,21572226975
2026-06-15,65711.1094,67248.1328,65315.8359,66289.5000,32927321950
2026-06-16,66289.4609,66928.6094,65315.0703,65600.6406,25063963967
2026-06-17,65600.4297,66354.6250,63870.9297,64418.4453,31288885189
2026-06-18,64419.6445,64736.9219,62201.1445,62896.4727,30432454936
2026-06-19,62897.5156,63568.2227,62275.5820,63540.8359,22361931660
2026-06-20,63535.8086,64307.1367,63149.6602,64239.6758,17486384117
2026-06-21,64242.3242,64506.5781,63221.0000,63237.5391,15739619591
2026-06-22,63240.7891,65544.0000,63233.5312,63952.1055,26561496819
