date,open,high,low,close,volume
2026-05-25,23940.2500,24054.4492,23922.8496,24031.6992,351200
2026-05-26,24004.0996,24089.8008,23885.4492,23913.6992,387900
2026-05-27,23880.3496,23983.1992,23858.2500,23907.1504,531600
2026-05-29,23902.1504,24002.8008,23484.7500,23547.7500,1198000
2026-06-01,23654.5000,23733.6992,23357.9492,23382.5996,421700
2026-06-02,23229.1504,23556.9492,23229.1504,23483.5508,511900
2026-06-03,23415.9492,23459.6504,23151.5000,23405.5996,450100
2026-06-04,23282.4492,23465.3008,23247.3008,23416.5508,412500
2026-06-05,23478.9492,23516.3496,23282.6504,23366.6992,366200
2026-06-08,23080.6992,23267.3008,23070.1504,23123.0000,375700
2026-06-09,23259.0508,23279.4004,23104.4492,23242.0996,402600
2026-06-10,23233.9492,23425.3496,23184.5996,23214.9492,380000
2026-06-11,23104.4004,23327.4492,23072.0508,23161.5996,363000
2026-06-12,23412.5508,23645.3496,23313.9004,23622.9004,351900
2026-06-15,23984.8496,24011.4004,23817.8008,23853.9004,398900
2026-06-16,23923.9004,24002.5996,23888.1992,23989.1504,327300
2026-06-17,24044.5000,24108.1992,23969.6992,24085.6992,352700
2026-06-18,24073.8008,24189.2500,24036.9492,24168.0000,340000
2026-06-19,23991.1992,24047.1992,23901.9004,24013.0996,447900
2026-06-22,24106.5996,24168.0508,24073.1504,24102.9004,252800
2026-06-23,24071.3008,24135.5000,23784.9492,23824.0996,340100
2026-06-24,23795.8008,24090.0508,23789.2500,24021.6504,395600
2026-06-25,24125.8496,24261.5996,24039.0000,24056.0000,448800
2026-06-29,24061.7500,24120.0000,23924.5508,23946.2500,588500
2026-06-30,24032.0508,24035.5508,23829.1992,23865.7500,449000
2026-07-01,23897.6504,24049.9004,23895.0996,24005.8496,352100
2026-07-02,24062.1992,24194.5508,24058.8008,24175.6992,372900
2026-07-03,24375.6504,24378.1504,24252.3496,24270.8496,326600
2026-07-06,24306.8496,24458.6504,24287.0996,24430.3496,329400
2026-07-07,24464.4492,24530.9004,24348.9492,24398.6992,412600
2026-07-08,24259.5508,24300.0000,23805.1992,23882.0508,420500
2026-07-09,23928.9492,24134.6992,23925.6992,23962.8008,384800
2026-07-10,24124.6992,24228.4492,24120.3496,24206.9004,313100
2026-07-13,24039.4004,24259.8008,24000.1992,24211.0000,322700
2026-07-14,24068.0000,24157.0996,24023.6992,24052.0508,355800
2026-07-15,24085.8496,24220.3496,24010.5508,24078.5000,306900
2026-07-16,24142.0996,24186.5000,24050.0000,24072.7500,264300
2026-07-17,24127.5996,24367.3008,24099.0508,24334.3008,387800
2026-07-20,24190.0508,24266.0996,24135.8496,24238.5000,353100
2026-07-21,24216.0508,24262.1992,24135.6504,24187.6992,315600
2026-07-22,24150.4492,24166.3008,23961.4004,23996.2500,304700
2026-07-23,23904.8008,23990.7500,23807.1992,23869.5996,344000
2026-07-24,23666.3496,23823.5996,23606.3008,23767.4492,333900
2026-07-27,23928.4004,24011.5996,23891.5508,23995.9492,319400
2026-07-28,23971.2500,24041.1504,23954.5996,23985.3496,437800
2026-07-29,24176.6504,24283.5508,24136.7500,24250.1992,424200
2026-07-30,24249.5508,24342.9492,24187.0996,24317.1504,400600
2026-07-31,24361.4492,24429.4004,24299.6992,24383.5996,411700
2026-08-03,24572.6992,24774.3008,24515.1504,24774.3008,342300
2026-08-04,24703.9004,24703.9004,24427.9492,24614.9004,296500
2026-08-05,24669.1992,24677.5996,24497.9492,24624.6504,355500
2026-08-06,24641.0000,24677.0508,24604.1504,24636.0000,344000
2026-08-07,24538.9004,24630.4004,24522.7500,24570.6504,254800
2026-08-10,24581.2500,24620.9492,24511.0996,24583.8008,269500
2026-08-11,24575.0996,24576.8496,24429.2500,24471.6992,271800
2026-08-12,24472.4492,24473.3008,24265.9492,24435.9492,317600
2026-08-13,24431.5996,24431.5996,24311.4004,24395.8496,295800
2026-08-14,24361.9004,24405.1992,24296.8008,24366.0000,267700
2026-08-17,24343.4492,24360.0996,24226.9492,24287.6504,225400
2026-08-18,24223.8496,24269.6504,24154.9004,24154.9004,227000
2026-08-19,24152.0508,24172.8496,24025.6504,24078.3008,238700
2026-08-20,24225.4492,24265.1504,24184.5508,24231.8496,253900
2026-08-21,24284.0508,24284.0508,24206.8008,24252.0000,259300
